Sample_ID	Age_BP	Location	Haplogroup
I7554	5182	Scotland, Orkney, Unstan Chamber Tomb	J1c9
I7289	4289	Radosevice	U8b1b1
I6579	4155	Iwiny	K1a4a1g
I5070	7048	Schletz	K1a1a
I5069	6961	Kleinhadersdorf Flur Marchleiten	N1a1a
I4917	8058	Hajduka Vodenica	U5a1c
I3394	3600	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	U4a1
I5078	6571	Osijek, Hermanov Vinograd	H10
I2691	5613	Scotland, Distillery Cave	J1c1
I6228	1919	Uvs aimag, Ulaangom sum, Chandman Uul, Ulaangom cemetery Grave #44	D4j12
I3135	5517	Scotland, Argyll and Bute, Oban, Raschoille Cave	U5b2a+@16192
I11697	7500	Bulgan, Khutag-Undur sum,  Marzyn khutul, Tomb 1-055-1, skeleton 4	D4j8
I3122	4073	Sicily, Buffa	T2b
I6555	2811	Swat Valley, Loebanr	M4a
I1526	4755	Baikal Region, Angara river basin, Mouth of the Belaya River	C4a1c
I4881	8363	Vlasac	U4b1b1
I4071	3717	Noord-Holland, Oostwoud, De Tuithoorn	H6a1a
I7492	3853	Sappali Tepe	K1a
I6356	2250	Uvs aimag, Ulaangom sum, Chandman Uul, Ulaangom cemetery, Grave #58, Burial 2	C4a1a3
I10873	3097	Shum Laka	L1c2a1b
I4089	5636	Urziceni	J1c
I5242	10530	Padina	U5a1
I6583	4138	Verniki Wielkie	U5b1c2
I5240	10805	Padina	U5a1c
I1495	6367	Apc-Berekalya I	N1a1a+152
I2934	5138	Scotland, Orkney, Isbister	U5a2c3
I1580	8205	Northwest Anatolia, Marmara, Barcın	H5
I7420	3750	Sappali Tepe	W3a1
I3138	4998	Scotland, Argyll and Bute, Oban, Raschoille Cave	K1a4a1
I6696	4575	Velké Žernoseky	H2a1
I5119	5097	Mezőcsát-Hörcsögös	J1c2
I4552	7369	Zvejnieki	U5a1d
I5244	10785	Padina	K
I3392	3600	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	U2e2a1d
I4874	8499	Vlasac	U5b2a
I5238	9993	Padina	K1
I5237	9500	Padina	U5a2+16294
I2069	5061	Altai Autonomous Republic, Ust-Kanski, Altai Mountains, Kaminnaya Cave	K1b2a
I4562	3614	Tarragona, Galls Carboners	H1
I1498	7094	Debrecen Tocopart Erdoalja	H
I4882	8000	Vlasac	U4b1b1
I4436	6109	Zvejnieki	U4a1
I2660	5394	Scotland, Distillery Cave	U5a2+16194
I11696	7528	Bulgan, Khutag-Undur sum,  Marzyn khutul, Tomb 1-055-1, skeleton 1	D4j
I3132	3927	Scotland, Covesea Cave 2	T2a1b1a
I4440	7074	Zvejnieki	U4a1
I2637	5375	Scotland, Orkney, Holm of Papa Westray North	K1b1a1
I14000	7480	Bulgan, Khutag-Undur sum, Egiin-gol river valley, Kharuulyn gozgor, tomb 1-117-1, skeleton 3	D4j
I2533	7371	Carcea	J1c5
I1763	10081	Vasil'evka	U5b2
I4880	7813	Vlasac	U4b1b1
I3433	7800	Zemunica Cave	H1
I2659	5637	Scotland, Distillery Cave	H1c
I5239	10333	Padina	U5a2d
I1524	905	Uelen Chukotka, Bering Strait	A2a
I2650	5380	Scotland, Orkney, Holm of Papa Westray North	T2c1d1
I4632	8316	Zvejnieki	U5a1c
I4063	6832	Sicily, Fossato di Stretto Partana	K1b1a
I4073	3992	Noord-Holland, Oostwoud, De Tuithoorn	U5a2b1
I4915	8115	Hajduka Vodenica	U5b2b
I1131	6482	Vojvodina, Hrtkovci, Gomolova	H
I3387	4725	Middle Yenisei region, Afanasieva Gora	J2a2a
I1730	4356	'Ain Ghazal	R0a1a
I1581	8252	Northwest Anatolia, Marmara, Barcın	U3
I1838	5126	Basque Country, Alava, Las Yurdinas II	J1c3
I5234	9500	Padina	U4a
I0707	8096	Northwest Anatolia, Marmara, Barcın	K1a4
I0709	8085	Northwest Anatolia, Marmara, Barcın	U3
I1732	7218	Vovnigi	U4b
I1098	8282	Northwest Anatolia, Marmara, Barcın	X2d
I11456	4500	Seistan, Shahr-i Sokhta	W3a1b
I4553	7370	Zvejnieki	U5a1c
I14879	651	South Andros, Sanctuary Blue Hole	C1b
I1738	7348	Vovnigi	U5a2+16294
I5407	8000	Lepenski Vir	H13
I1819	10658	Vasil'evka	U5b2
I6470	3609	Castilla y León, Burgos, Tablada de Rudrón, Virgazal	J1c1
I4876	8455	Vlasac	U5a2d
I4628	7033	Zvejnieki	U5a2d
I4910	5526	Sarazm	J1d
I15676	464	La Caleta	C1b2
I14922	982	Abaco, Hopetown	B2e
I1752	595	Conchalí, Santiago, RM	B2i2b
I2367	5085	Budakalász-Luppa csárda	HV
I1947	9992	Ganj Dareh	R2
I2431	6624	Ivanovo	N1b1
I15601	1228	La Caleta	C1b2
I4582	8618	Iron Gates, Ostrovul Corbului	K1
I1290	9806	Ganj Dareh	X2
I16168	5807	Sardinia, Anghelu Ruju	U5b2b3
I11459	4699	Seistan, Shahr-i Sokhta	W3a1b
I1699	8700	'Ain Ghazal	R0a2
